timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     eat_mode_active     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0                   15           14           14           15           12           15           16           15      
1            14           24           -1              0               0                   15           13           15           15           13           15           17           15      
2            14           24           -1              0               0                   14           12           16           15           14           15           17           14      
3            13           24           -1              0               0                   14           12           16           15           14           15           17           14      
4            13           24           -1              0               0                   14           11           17           15           15           15           17           13      
5            12           24           -1              0               0                   14           11           17           15           15           15           17           13      
6            11           24           -1              0               0                   13           11           17           14           16           15           16           13      
7            10           24           -1              0               0                   12           11           17           13           17           15           15           13      
8            10           24           -1              0               0                   11           11           16           13           17           14           14           13      
9            9            24           -1              0               0                   11           11           16           13           17           14           14           13      
10           9            24           -1              0               0                   10           11           15           13           17           13           13           13      
11           8            24           -1              0               0                   10           11           15           13           17           13           13           13      
12           7            24           -1              0               0                   9            11           14           12           16           13           12           13      
13           6            24           -1              0               0                   9            12           14           11           15           13           12           14      
14           6            24           0               1               0                   9            12           14           11           15           13           12           14      
15           6            24           0               1               0                   9            13           13           11           14           13           12           15      
16           6            25           0               1               0                   9            13           13           11           14           13           12           15      
17           6            25           0               1               0                   9            14           12           11           13           13           13           15      
18           6            26           0               1               0                   9            14           12           11           13           13           13           15      
19           6            27           0               1               0                   8            14           11           11           12           13           14           15      
20           6            27           -1              0               0                   8            14           11           11           12           13           14           15      
21           5            27           -1              0               0                   7            14           10           11           12           14           15           15      
22           5            27           -1              0               0                   6            14           9            11           12           15           16           15      
23           4            27           -1              0               0                   6            14           9            11           12           15           16           15      
24           4            27           -1              0               0                   6            15           9            12           13           15           17           15      
25           3            27           -1              0               0                   6            15           9            12           13           15           17           15      
26           2            27           -1              0               0                   6            16           9            13           14           15           17           14      
27           1            27           -1              0               0                   6            17           9            14           15           15           17           13      
28           1            27           0               1               0                   6            17           9            14           15           15           17           13      
29           1            27           0               1               0                   6            18           8            14           16           15           16           13      
30           1            28           0               1               0                   6            18           8            14           16           15           16           13      
31           1            28           0               1               0                   6            19           7            14           17           15           15           13      
32           1            29           0               1               0                   6            19           7            14           17           15           15           13      
33           1            30           0               1               0                   6            20           6            14           17           14           14           13      
34           1            30           1               0               0                   6            20           6            14           17           14           14           13      
35           2            30           1               0               0                   6            21           6            15           17           13           13           13      
